                                    TIME                                POSITION
                                       0                                      10
                                    0.01                                  10.613
                                    0.02                                 10.7243
                                    0.03                                  12.016
                                    0.04                                 12.6233
                                    0.05                                  12.345
                                    0.06                                 12.1571
                                    0.07                                 11.8188
                                    0.08                                  12.444
                                    0.09                                  12.399
                                     0.1                                 12.4969
                                    0.11                                  12.739
                                    0.12                                 11.8619
                                    0.13                                 11.9352
                                    0.14                                 12.1581
                                    0.15                                 12.1604
                                    0.16                                 12.1849
                                    0.17                                 12.7412
                                    0.18                                 13.0248
                                    0.19                                 13.3113
                                     0.2                                 13.2041
                                    0.21                                 13.0101
                                    0.22                                 12.9252
                                    0.23                                 13.0727
                                    0.24                                 13.5606
                                    0.25                                 13.3679
                                    0.26                                 13.9058
                                    0.27                                 13.8319
                                    0.28                                 12.8531
                                    0.29                                 12.6275
                                     0.3                                 13.1724
                                    0.31                                 13.1363
                                    0.32                                 12.9037
                                    0.33                                  13.479
                                    0.34                                 13.5841
                                    0.35                                 13.2517
                                    0.36                                 13.5278
                                    0.37                                 12.5977
                                    0.38                                 11.7529
                                    0.39                                 11.4258
                                     0.4                                 11.3412
                                    0.41                                 11.0658
                                    0.42                                 11.3475
                                    0.43                                 11.8921
                                    0.44                                 12.3893
                                    0.45                                 11.7002
                                    0.46                                 11.4751
                                    0.47                                 11.5852
                                    0.48                                  11.432
                                    0.49                                 11.2383
                                     0.5                                 11.3145
                                    0.51                                 10.9915
                                    0.52                                 10.6309
                                    0.53                                  11.074
                                    0.54                                 11.0636
                                    0.55                                 11.3483
                                    0.56                                 11.2191
                                    0.57                                 10.9176
                                    0.58                                 10.7911
                                    0.59                                 10.3449
                                     0.6                                 10.2473
                                    0.61                                 9.98018
                                    0.62                                 9.69453
                                    0.63                                 9.42809
                                    0.64                                 9.59032
                                    0.65                                 9.35018
                                    0.66                                 8.69493
                                    0.67                                 9.32953
                                    0.68                                 9.11981
                                    0.69                                 8.23189
                                     0.7                                 8.94754
                                    0.71                                 9.00689
                                    0.72                                  9.9057
                                    0.73                                 10.0325
                                    0.74                                  9.6146
                                    0.75                                 9.42592
                                    0.76                                 10.0711
                                    0.77                                 9.42793
                                    0.78                                 9.60736
                                    0.79                                  9.3895
                                     0.8                                 9.79674
                                    0.81                                 9.33947
                                    0.82                                 8.35357
                                    0.83                                 8.51589
                                    0.84                                 8.45106
                                    0.85                                 8.61481
                                    0.86                                 8.09783
                                    0.87                                 8.33036
                                    0.88                                 7.42487
                                    0.89                                 8.08136
                                     0.9                                 7.52655
                                    0.91                                 7.51923
                                    0.92                                 7.36448
                                    0.93                                 7.63888
                                    0.94                                 6.87051
                                    0.95                                 6.96245
                                    0.96                                  7.2005
                                    0.97                                 7.08477
                                    0.98                                 6.78932
                                    0.99                                 6.60581
                                       1                                  6.6251
